Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Total coal and coal products;Total final users of energy;1994;29;;36,4;5,7;-1,7;;29;4,9;;;14,5;9,5
Total coal and coal products;Total final users of energy;1995;32,5;;42,1;10,4;0,7;;32,5;3,4;;;18,8;10,2
Total coal and coal products;Total final users of energy;1996;31,9;;43,9;10;-2;;31,9;3,6;;;17,3;10,9
Total coal and coal products;Total final users of energy;1997;33,6;;52;18,5;0,1;;33,6;3,9;;;19,6;10,2
Total coal and coal products;Total final users of energy;1998;30,5;;50,2;18;-1,7;;30,5;5;;;16,8;8,7
Total coal and coal products;Total final users of energy;1999;27,6;;44,4;18,5;1,7;;27,6;6,1;;;15,6;5,9
Total coal and coal products;Total final users of energy;2000;25,4;;51,3;22,5;-3,5;;25,4;6,3;;;14,2;4,9
Total coal and coal products;Total final users of energy;2001;25,1;;48,2;27,3;4,3;;25,1;6,8;;;13,9;4,4
Total coal and coal products;Total final users of energy;2002;25,9;;48,4;24,5;2;;25,9;6,6;;;15;4,4
Total coal and coal products;Total final users of energy;2003;25,8;;46,4;21,3;0,7;;25,8;6,6;;;14,6;4,7
Total coal and coal products;Total final users of energy;2004;26,5;;44,6;14,8;-3,4;;26,5;7;;;14,8;4,6
Total coal and coal products;Total final users of energy;2005;25,7;;41,8;14,1;-2;;25,7;6,1;;;14,9;4,7
Total coal and coal products;Total final users of energy;2006;26,5;;44,4;18,3;0,5;;26,5;6;;;15,9;4,6
Total coal and coal products;Total final users of energy;2007;28,6;;44,7;18,6;2,6;;28,6;6,1;;;17,4;5,1
Total coal and coal products;Total final users of energy;2008;28,4;;48,7;17,2;-3,1;;28,4;6,3;;;16,7;5,3
Total coal and coal products;Total final users of energy;2009;23,8;;25,6;8,7;6,9;;23,8;5,7;;;13,9;4,2
Total coal and coal products;Total final users of energy;2010;26,7;;36,4;10,5;0,8;;26,7;6,1;;;16,5;4
Total coal and coal products;Total final users of energy;2011;26,2;;37,3;8,4;-2,6;;26,2;5,9;;;16,1;4,3
Total coal and coal products;Total final users of energy;2012;24,4;;32,6;9,1;0,9;;24,4;5,5;;;14,9;4
Total coal and coal products;Total final users of energy;2013;21,9;;25,8;12,8;8,9;;21,9;4,1;;;14,2;3,6
Total coal and coal products;Total final users of energy;2014;19,2;;40,9;16,4;-5,3;;19,2;3,2;;;14,2;1,7
Total coal and coal products;Total final users of energy;2015;21,6;;22;;-0,4;;21,6;2,7;;;15,4;3,6
Total coal and coal products;Total final users of energy;2016;23;;24,4;;-1,4;;23;2,5;;;17,3;3,2
Total coal and coal products;Total final users of energy;2017;24,6;;22,8;0,5;2,3;;24,6;2,6;;;19;3,1
Total coal and coal products;Total final users of energy;2018;23,3;;24,7;0,4;-1,1;;23,3;2,7;;;17,3;3,3
Total coal and coal products;Total final users of energy;2019;20,4;;22,2;0,8;-0,9;;20,4;2,7;;;14,8;3
Total coal and coal products;Total final users of energy;2020;19,3;;20;2,3;1,6;;19,3;3,2;;;13,4;2,8
Total coal and coal products;Total final users of energy;2021**;17,7;;91;69,8;-3,5;;17,7;2,4;;;13,3;2
Total coal and coal products;Total final users of energy;2022**;18,4;;92,9;75;0,5;;18,4;2,1;;;15;1,3
Total crude and petroleum products;Total energy sector and final users;1990;1057,7;175,2;8479,1;7602,9;8,3;-2;1059,7;97,2;109,6;;536,3;316,6
Total crude and petroleum products;Total energy sector and final users;1991;1049,3;169,1;8743;7857,1;-8;2,4;1047;102,6;112,4;;533,7;298,3
Total crude and petroleum products;Total energy sector and final users;1992;1062;153,3;8471,8;7529,8;-35,5;2,3;1059,7;102,7;106,9;;550,2;299,9
Total crude and petroleum products;Total energy sector and final users;1993;1071,5;153,2;8791,8;7880,6;5,8;1,2;1070,3;99,1;114,3;;567,8;289,1
Total crude and petroleum products;Total energy sector and final users;1994;1092,7;199,5;9108;8175,2;-37;-2,6;1095,4;101,6;116,2;;560;317,5
Total crude and petroleum products;Total energy sector and final users;1995;1121,3;162,3;9176,5;8296;79,4;-1;1122,3;117;112,8;;556,5;336
Total crude and petroleum products;Total energy sector and final users;1996;1149;147,2;9816,1;8808,7;-7,8;2,3;1146,7;120,4;108,6;;579,4;338,2
Total crude and petroleum products;Total energy sector and final users;1997;1150,2;141,4;10091,5;9068;-17,3;2,5;1147,7;124,7;98,5;;571,3;353,2
